,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
CCNJL,0.5732593726090283,0.5197426405781769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POR,0.698928844682479,0.6017979904812268,0.5642032607402119,0.5333178366651173,0.5010771641206428,0.47700720855083173,0.4674049638705617,0.4631410256410254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDELC2,0.545141545524101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL4A3BP,0.5909525631216527,0.5024237616781242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC7,0.545141545524101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SFT2D1,0.6420237184391736,0.6195134849286092,0.6034749494228251,0.5941422594142262,0.5820603211907563,0.5636341039025603,0.5231699654414065,0.5086137820512815,0.41115288220551616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYAL3,0.7712318286151492,0.706504494976203,0.6893371414970844,0.6709282504261583,0.646690168429299,0.618319661943823,0.6043041156142004,0.5863381410256411,0.5852130325814535,0.5634469696969698,0.5237556561085974,0.5233516483516486,0.48222222222222205,0.43952180028129373,0.40331491712707196,0.3705035971223023,0.4101307189542484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLF2,0.6569433817903596,0.6183236382866208,0.609068189932167,0.5933674260034095,0.5745201723462596,0.5530698483718618,0.5109959158027011,0.48998397435897395,0.38809523809524166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCHCR1,0.6022379495026778,0.5599330160408955,0.5467095085088657,0.5154966682163348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMO1,0.800114766641163,0.7092808038075092,0.6684517434249673,0.623275995660933,0.5848021934978457,0.558538404175988,0.5343229657555764,0.49739583333333326,0.48596491228070227,0.4782196969696974,0.455505279034691,0.4565018315018314,0.42111111111111077,0.40154711673698995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
