,Sars,Mers,Iv,Eb
DMD,0.0,,1.473735611576353e-05,5.020109011118915e-06
GOLGA3,1.4611033562946768e-06,,,
KIF23,1.3063555649542402e-07,1.9688832225523008e-05,7.91845209178176e-07,
TBX1,5.9212309772455505e-05,2.0637933046906706e-06,,0.0
NPR3,2.9095162224234404e-05,7.615775217911007e-08,8.174255688727744e-06,
UGT3A1,2.3875608357429168e-05,,4.786594310774457e-06,0.0
KALRN,3.0593215383910695e-05,6.0865023032537155e-05,8.925756284753945e-06,0.0005604062089124422
NEXN,4.208535340522003e-06,,,0.0
SYT13,2.2753660032050174e-07,,,
CCDC82,0.0,0.0,,
ITGB6,1.1717574385125918e-05,,3.0967093511523644e-06,
RIBC1,3.924501907571522e-07,0.0002726842332722463,0.0,
XRN1,1.0983041835860586e-05,,,
SLC6A16,0.0001244777539603622,,,0.0
PDGFD,4.069305194113991e-06,5.9142662629925906e-06,,
EPM2A,8.700267455654262e-07,,,
COL6A1,7.479036830785432e-07,,0.0,
NEB,1.7260907924624674e-05,,1.10770745656878e-06,
HCFC2,7.625068449110288e-08,0.0,0.0,
SYNPO2,0.00094639785903508,0.0,1.9536675298236137e-05,3.934251981314485e-06
TRPC2,7.056926860621231e-06,,,
CDKN3,1.3063555649542402e-07,5.021963997280486e-06,,0.0
NOTCH3,6.517336697116427e-07,1.9459637275291537e-06,0.0007921758922491362,
GSTM4,0.0,,,
ARSK,0.0,,,0.0
TNP2,0.00014114859912450883,0.0,,9.987349287907257e-06
CORIN,9.253698233442802e-06,,,1.2556866766888085e-06
ADORA2A,2.0025550034455076e-06,,,
SLC30A6,0.0,,0.0,0.0
RALB,0.0,,,
ADAM11,1.7718208677093665e-06,3.234510836283053e-05,2.026098218613685e-06,2.5853803847383284e-06
LRP1,5.452353148076272e-06,5.147468110537611e-06,2.1925251845917148e-05,7.468217929259118e-05
DAND5,1.257456184418354e-05,,3.219465046678426e-05,
SLC28A3,7.065693521877636e-06,,,
PBK,1.3063555649542402e-07,4.0702307520448096e-05,,0.0
CD109,1.4599014461152e-06,0.0,2.8503403436425083e-05,
TMEM176A,0.0,,,
SAA4,0.0002616838683968873,0.0,5.103994982966845e-06,1.0820740472728433e-06
SPG21,3.2254336644023787e-07,0.00016035100744789902,6.7493810002248735e-06,
CRHR1,1.5570844431728818e-05,6.871898726616854e-07,1.0452825846478096e-05,0.0
HIF3A,6.448460571105092e-06,8.45333254208412e-05,2.069205939655174e-05,0.0044664881588436164
RARA,1.5511772718869328e-07,1.8689575487918784e-05,0.0,1.5669269521116524e-05
THPO,2.5795955796328683e-05,3.9569890391905025e-07,,0.0
PIM1,7.451255642755241e-05,3.167133961667469e-05,,
UBD,0.00015121770767575498,3.8390940444226105e-05,6.541281187676006e-06,6.042730447000926e-05
DMBX1,2.0619991205960878e-08,0.0,,
ERG,4.579865899484421e-06,,,
TUBB2B,3.5427303543789806e-05,,0.0,7.228686026665545e-07
CACNB2,8.417250339663734e-06,,2.026098218613685e-06,
KLHL20,7.789849442257539e-06,,,
CRHR2,3.931272525364211e-05,,2.9627767563048923e-06,2.6900335743326187e-05
ZZZ3,0.0,9.918294061931637e-06,0.05756580322546007,0.4729658749357907
LTBP3,3.685595542303193e-06,0.0001650466508818157,,
NFAT5,1.7580631858669381e-06,1.050724985665357e-06,,
NFIL3,1.967316387652567e-07,0.00015275306089150646,0.0,
SETMAR,1.0791750726172368e-05,,,
CLPTM1,0.0,0.0,,2.5853803847383284e-06
KCNH2,0.00029733847023284986,0.0001863942578856802,2.9381957306298156e-06,2.807113276866222e-05
GNMT,4.790264963805046e-06,,,0.0
PMPCA,0.0,0.0,,
ATOH8,5.6795783806063915e-06,9.440757429040328e-06,4.35420183591252e-05,4.0289987596752624e-06
SOX17,4.2490260286414514e-05,1.4559847932858831e-05,,
TWIST1,4.1801542477286224e-05,0.0,,
WNT2B,0.0,,,
BARHL1,9.295965864308443e-06,,,
NOC2L,3.12393168530438e-06,0.0,,1.5491953027324068e-06
MCAM,3.0287311173756402e-05,0.0,7.625535131837649e-06,
WNT10B,1.2905420579835806e-05,4.224222926186378e-06,,
CXCL2,0.0052546602886085715,0.0035062605443720867,0.0004775047901341347,0.0013609390113911535
ZBP1,0.02115225926229518,0.0001852754861712941,0.0009044502468526858,
HVCN1,1.0648222429728846e-06,,2.229749960233428e-06,
CCDC121,2.1636044033048238e-06,,,
FXYD6,2.04819647275962e-06,1.1958764818536143e-07,,
TMPO,0.0,3.163480256952074e-06,1.9300339954795686e-05,4.169644724056416e-06
IL1R2,0.0,1.5727667625062431e-06,,1.0820740472728433e-06
PSCA,0.0,0.0,,
ENPP2,0.0002291036449215335,3.9569890391905025e-07,,0.0
CPEB3,1.2101521975726619e-05,0.0,5.5308216724417864e-06,
IL33,3.5896402780051365e-06,1.6465596945014064e-06,,0.0
TIMP4,6.517336697116427e-07,,,
STAC3,0.0,,,0.0
RHOT1,2.9610134321912077e-07,,,
GAL3ST4,3.390390593118924e-07,,,2.9799509589047108e-05
PCDHA9,9.89261052388319e-05,,,
EIF4E,1.6095735963991708e-06,,,
CCR3,3.498156782608737e-06,,,
STAU2,0.0,,1.6984555751210728e-06,
EDA,0.0,0.0,,1.4818727524224263e-05
TDRD3,1.0340474330069459e-06,,,3.934251981314485e-06
CYBA,3.9332080113734076e-05,0.006169464116543011,9.116068940818363e-06,
SYNJ1,8.500364684618583e-07,1.7890019194407951e-06,,
ITGA11,0.0,,,
ZC3H8,7.316301635830969e-07,,,6.805095074174342e-06
SMARCC1,0.0,6.05162383213109e-07,1.1971396455500747e-06,8.798469015660974e-06
SLC29A4,6.1704023757636e-07,1.2146043028217271e-06,0.0,6.160015944718455e-05
RBBP6,2.163142387448031e-07,0.0,2.486042956584217e-07,
DCST1,9.522969814593549e-05,2.816877641061859e-06,0.0,9.461764556638505e-05
FGD3,4.535442002369433e-07,0.0,0.0,
JUN,0.0019781249486718775,0.00339092320937493,1.03486499400904e-05,0.0002427084655079003
SESN1,9.99034559501702e-07,,,0.0
IRAK3,0.0,,,
WNT10A,0.0,,,
PXN,3.4532280352779826e-06,,,0.0
CD5,7.171028024636043e-06,7.615775217911007e-08,,
WHSC1,0.0,1.251684936462218e-06,0.0,1.6286063794044541e-06
OTUD3,1.75392608983693e-05,2.244697854619456e-05,0.0,
PCDH9,0.0,,0.0,
PRICKLE2,9.641313283351213e-07,,,
RBMS3,4.199531516635222e-05,3.7421616815381297e-07,,4.1550044553397145e-05
LIME1,0.0,3.94077624607369e-06,8.696024680887933e-06,
PAPD4,3.224921040786419e-08,6.044309568847725e-08,,
VAV3,1.997706927570127e-07,1.1958764818536143e-07,9.182278071209425e-05,0.00021647872135288285
CHGB,8.751232947190869e-06,,,
NOD2,2.8495491829693296e-05,5.186686035665617e-06,9.711950766486685e-07,
XRRA1,0.0,,3.0967093511523644e-06,
IQCG,0.0,,,0.0
SHH,3.7280169277652606e-06,,,
CRYZL1,2.2046207560805566e-06,,,
KLF8,0.0,,3.2435062466514055e-05,0.0
SCARF2,6.039664483438721e-06,4.034366510516812e-08,,8.449218501223194e-06
LYSMD3,2.7431810337522194e-06,1.675533576942575e-06,,1.8851514956280136e-06
ABCG5,1.6646168360729715e-07,,,
TULP3,0.0,,,
WNT1,0.0014408349537492616,1.6543044284958962e-06,0.0,2.2835026394306277e-05
FBP1,1.7723458733268182e-07,,0.0,
TRIM23,0.0,,,
KRT83,0.00020632069971436858,4.500585743107898e-05,4.132746428855964e-06,0.0032786220753096185
CNIH2,5.420443372649154e-06,0.0,0.00022791942856424392,
LMO2,0.0004532437983184974,0.0,1.8772669494061612e-05,
SLFN5,5.133014181338885e-05,4.0455762598424247e-07,0.0001710708217790774,0.0
SGPP2,3.43661500247492e-06,1.6543044284958962e-06,1.814094847934461e-06,
POU6F2,5.8303303862647315e-06,,,
P4HA1,2.0694510639724225e-06,1.9288928256941064e-07,,0.0
RNF186,5.051480240254042e-07,,,
FCRL5,1.0970388339244191e-05,6.05162383213109e-07,,0.0
CDK7,1.4935225089058503e-07,,,
DAGLA,2.9610134321912077e-07,6.0108809159162614e-05,0.0001278652114259679,0.00021203641643015948
SYNE1,6.253818196706227e-05,0.0001144192325977518,1.1337356901814858e-06,0.0001975171137870955
CFC1,4.255155341307162e-06,,0.0,
DCAKD,0.0,,0.0,0.0
LMAN1L,1.8295582321826352e-05,0.0,0.0,8.813513211017494e-07
BRCA1,0.0,3.834302649976434e-06,0.0,3.331003722137968e-06
BCAN,8.559225666960488e-07,0.0,,
SIPA1L3,0.0,,0.0,0.0
NEK1,0.0,,,
TLR9,0.0,,,
NUB1,3.9207629251663e-08,,7.051839614267496e-06,
PCSK1N,3.550473018680281e-05,1.0264965988213456e-05,,1.2556866766888085e-06
POLM,5.040147163638288e-06,0.0006418553622904704,9.73603689112936e-06,0.0
GBX2,2.1041628433213953e-06,,1.943494588570265e-05,0.0
NTRK1,0.00010356213735028048,,,
HCST,4.535442002369433e-07,7.615775217911007e-08,9.504974987144153e-05,
CLDN5,0.0004971594388045545,,,
HDAC10,1.951469550168057e-05,,,
CPN1,2.190709196041717e-06,0.0,,
PROKR1,6.792307693049143e-07,,,
MYH14,4.8168963147757115e-06,5.605047027051053e-05,0.00020239443672116363,0.00016683359744820605
KCNH1,0.0002491729424543882,,,
IL10,0.0,,,
RTBDN,2.7460356547052566e-06,1.4899552117510701e-05,7.883017600127633e-06,1.1280338574341425e-05
RGS14,3.500261709966769e-06,,,
CACNG1,3.66856847569758e-06,,,
NR6A1,0.0,1.3233715899314792e-06,3.303222827822086e-05,
PIGT,4.501307904148844e-07,,,0.0
ZMYND10,7.479036830785432e-07,,,
ANKRD24,4.923900080139891e-07,,,1.2556866766888085e-06
FAT4,8.759175944045778e-07,2.000146310338967e-05,1.5182669226083776e-07,
CPA2,4.4839914897864874e-05,,,
HS6ST2,0.0,,1.7958095986931337e-06,
RPL24,2.1517261354710478e-05,,,
OTOF,1.682727700240881e-05,4.727164958683145e-06,1.418266279265773e-05,0.000497988859529414
IQCF1,9.206336800729179e-07,,9.711950766486685e-07,
DOPEY1,1.0703951860633831e-06,3.417463562492814e-05,0.0013515174130623922,0.00010843688049625292
ADAM9,1.7167166952754281e-06,,4.9175626557217524e-06,
KCNMB4,0.0,,0.0,
