,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
DDX6,0,3.747514336632773e-05,-871.0,-0.3100747597009612,-1.559956023319851e-06,-0.7375281707428268,0.0
DECR1,0,3.20629745104156e-05,-659.0,-0.27573221757322175,-2.09727908535909e-06,-0.6687217905649817,0.0
DEDD,0,0.0,,,,,0.0
DEDD2,6,5.725981488331703e-06,527.0,0.10011398176291793,1.0710768791904406e-07,inf,0.002470209976117617
DENND1A,0,0.0,,,,,0.0
DENND1B,0,3.4841547540993815e-05,-741.0,-0.3131868131868132,-2.277808792547856e-06,-0.7006369736421495,0.0
DENND1C,0,0.0,,,,,0.0
DENND2A,5,4.619829699986733e-05,656.0,0.1935103244837758,2.599749182865878e-07,0.22532550728506537,0.004208571143142497
DENND2D,2,6.999633462754098e-06,453.0,0.0911652243912256,9.05329303167964e-09,0.05395042636851625,0.0019986112392755655
DENND3,0,0.00010510954146686374,-945.0,-0.5539273153575616,-5.171997065372154e-06,-0.7725867226013482,0.0
DENND4C,1,5.430147275756849e-05,-668.0,-0.31012070566388117,-2.7640635359999553e-06,-0.6812718075236095,0.0020271068493405387
DENR,0,0.0,,,,,0.0
DEPDC1B,0,0.0,,,,,0.0
DEPDC5,0,0.0,,,,,0.0
DEPDC7,2,2.7645370978268982e-05,-382.0,-0.2070460704607046,-3.3762652424563997e-06,-0.5982569550418781,0.00217245981388406
DERA,0,0.0,,,,,0.0
DERL2,0,0.0,,,,,0.0
DERL3,6,5.6223100346156454e-05,2045.0,0.40200511106742676,9.220619233018308e-07,7.426041748162167,0.007583165239744463
DFFB,3,1.0131373721878822e-05,616.0,0.11702127659574468,1.397595941904895e-07,inf,0.0023981515350643234
DGAT1,0,2.41036063122512e-05,-678.0,-0.23991507430997877,-1.414134618094178e-06,-0.6787365058315088,0.0
DGAT2,2,1.615831147548081e-05,850.0,0.1614741641337386,2.0485619458158553e-07,inf,0.0024417363827607995
DGCR2,0,0.0,,,,,0.0
DGCR8,3,1.8944619681850616e-05,323.0,0.08223014256619145,-4.3056388191204813e-08,-0.06624920297176765,0.0027508677801538718
DGKA,0,4.1151759366776985e-05,-984.0,-0.36950807360120164,-1.8409011110176703e-06,-0.7621186203225154,0.0
DGKD,0,0.0,,,,,0.0
DGKG,2,3.745711487629826e-06,-216.0,-0.06141597952800682,-4.915572413696923e-07,-0.483037307073336,0.001417055735851287
DGKZ,0,0.0,,,,,0.0
DHCR24,0,0.002782680453345195,-118.0,-0.8368794326241135,-0.0003646412666479823,-0.7323633526417305,0.0
DHCR7,0,0.0,,,,,0.0
DHFR,0,4.0327787759087666e-05,-302.0,-0.173963133640553,-3.7749473887519522e-06,-0.581574483508298,0.0
DHPS,0,2.6201952797410834e-06,-105.0,-0.022697795071335927,-1.8224535654580193e-07,-0.6244544660288807,0.0
DHRS13,0,0.0,,,,,0.0
DHRS3,0,0.0,,,,,0.0
DHRS7,0,0.0,,,,,0.0
DHRS7B,0,0.00017106105538807503,-657.0,-0.582963620230701,-1.1159448654122086e-05,-0.7545600022946649,0.0
DHRS9,5,0.00028625819075957834,-81.0,-0.25878594249201275,-7.31540388903314e-05,-0.552275361377571,0.0050176365428025865
DHRSX,0,0.0,,,,,0.0
DHTKD1,0,0.0,,,,,0.0
DHX15,0,0.00012308785564789338,-527.0,-0.47477477477477475,-1.0780897934849646e-05,-0.7090783682696972,0.0
DHX16,0,0.0,,,,,0.0
