,Number of Increases,Euclidean Distance,Absolute Rank Change,Relative Rank Change,Absolute Change,Relative Change,Combined Score
ADAM28,0,1.568334099399529e-07,-113.0,-0.01794220387424579,-2.1714055633668577e-09,-0.08311291369653753,0.0
ADAM32,13,0.0002040760320026585,246.0,0.2265193370165746,6.02304244174014e-06,0.5691492108989663,0.02929474301557952
ADAM33,0,5.369482325784994e-05,-18.0,-0.03103448275862069,-1.7196400143857965e-06,-0.054910598058599096,0.0
ADAM8,7,6.616168984823457e-05,970.0,0.2934947049924357,1.304690781577387e-06,1.3279746051231465,0.02191224549620924
ADAM9,0,4.489553384966152e-06,-116.0,-0.03591331269349845,-6.699060607654697e-08,-0.0641502063665132,0.0
ADAMDEC1,0,1.7428033953808836e-06,-110.0,-0.026993865030674847,-3.3457112245474425e-08,-0.061408424860403626,0.0
ADAMTS1,0,5.28145556271502e-05,-15.0,-0.0211864406779661,-1.7375786356358022e-06,-0.07526087715939558,0.0
ADAMTS12,0,1.2417319640436063e-06,-115.0,-0.02276776875866165,-1.6433538339558613e-08,-0.0761683210666494,0.0
ADAMTS14,0,4.2351557590863565e-07,-114.0,-0.019923103809856693,-5.293944698857943e-09,-0.053286581720862765,0.0
ADAMTS15,0,1.97822278360709e-06,-126.0,-0.02843601895734597,-3.120266244648037e-08,-0.07980884290527247,0.0
ADAMTS2,0,2.0131753871322746e-05,-83.0,-0.061894108873974646,-5.320837463213047e-07,-0.07678409349567657,0.0
ADAMTS4,0,0.0003894785893265798,-8.0,-0.03902439024390244,-1.5657490721621625e-05,-0.07463406151733476,0.0
ADAMTS7,0,6.2496344556034885e-06,-62.0,-0.027062418158009603,-1.2039137548722044e-07,-0.05068750518233301,0.0
ADAMTS9,6,2.799491306303324e-05,284.0,0.11328280813721579,5.761484326283538e-07,0.293055956402152,0.013326428893359192
ADAMTSL1,0,2.1047677275604915e-06,-110.0,-0.027855153203342618,-3.6924093909134716e-08,-0.06148540552187292,0.0
ADAMTSL2,1,8.769762920843171e-06,-58.0,-0.030623020063357972,-2.029070089276813e-07,-0.058606961562057074,0.005333805872632961
ADAMTSL3,0,5.463958488456839e-05,-11.0,-0.01751592356687898,-1.7197118113523246e-06,-0.061753576504537375,0.0
ADAMTSL4,0,1.2173667880875948e-05,-48.0,-0.031496062992125984,-3.1934571734764115e-07,-0.05825204599385858,0.0
ADAMTSL5,0,7.67196850111479e-06,-85.0,-0.03562447611064543,-1.4550233257476491e-07,-0.06634482854739017,0.0
ADAR,0,7.941391586487717e-06,-85.0,-0.041913214990138066,-2.3469999410009794e-07,-0.07797157707704801,0.0
ADARB1,0,4.806523564608954e-06,-120.0,-0.03842459173871278,-7.773700774968938e-08,-0.0681911360460487,0.0
ADCK5,0,1.2659491507431776e-06,-91.0,-0.022693266832917707,-2.321344701948241e-08,-0.040594547067173935,0.0
ADCY1,4,1.543328992881513e-05,733.0,0.15331520602384438,2.869096149366388e-07,1.0195406667627367,0.012289772819336776
ADCY3,0,1.3883288800422642e-06,-86.0,-0.01887620719929763,-1.8030740051714373e-08,-0.05127130688448708,0.0
ADCY4,4,8.496889311097388e-06,448.0,0.09133537206931702,1.4441255819922106e-07,0.5723817430986411,0.009579221676294212
ADCY5,0,1.741215002246129e-06,-112.0,-0.02603440260344026,-3.1675381235334555e-08,-0.07123268559192604,0.0
ADCY7,1,2.3649950072393033e-06,-84.0,-0.024837374334713187,-4.089576642532753e-08,-0.04403003484854589,0.003879822493377854
ADCY9,0,3.489262789291784e-06,-108.0,-0.03260869565217391,-5.6902031356466294e-08,-0.05804629517585056,0.0
ADCYAP1R1,0,1.0597124797507095e-05,-44.0,-0.026410564225690276,-2.949750626538494e-07,-0.0633399655884774,0.0
ADD3,0,1.6439999316279235e-05,-67.0,-0.04643104643104643,-3.9275868276934363e-07,-0.06473920802508291,0.0
ADH5,0,5.341304446170695e-07,-84.0,-0.015795411808950735,-7.250543302721237e-09,-0.04296277794074001,0.0
ADHFE1,0,3.815763660561247e-05,-96.0,-0.0781758957654723,-1.034724721821133e-06,-0.12612338400055806,0.0
ADI1,6,1.7343898165026887e-05,314.0,0.09085648148148148,2.721023326464907e-07,0.3084358356617692,0.011818702495815224
ADIPOR1,0,5.223172383339163e-07,-65.0,-0.013163223977318752,-7.80205940427671e-09,-0.03190831127951087,0.0
ADIPOR2,0,1.3173326420668372e-06,-75.0,-0.020199299757608404,-2.6321277945790703e-08,-0.036029870096625026,0.0
ADM,23,0.00030521773308494294,35.0,0.08373205741626795,1.3439945181513478e-05,0.24918558157119433,0.03318978346226368
ADM2,7,2.0100529139533765e-05,84.0,0.05054151624548736,4.5109194029638e-07,0.09622456492626434,0.011717861969536753
ADNP,0,3.0309861826766437e-06,-81.0,-0.02530459231490159,-4.071036466354888e-08,-0.03780295446332314,0.0
ADORA1,0,1.5016627502135833e-06,-110.0,-0.024277201500772456,-2.4331721984275793e-08,-0.06792343545616807,0.0
ADORA2A,4,8.00665111419639e-06,393.0,0.08189206084600958,1.404854331440025e-07,0.5087086194718539,0.009276395140665016
ADORA2B,0,6.966077749946534e-07,-92.0,-0.01750380517503805,-9.055082500511507e-09,-0.050573834079216465,0.0
ADORA3,0,2.610424801204182e-06,-107.0,-0.028640256959314776,-4.8808323365238254e-08,-0.06791397828682914,0.0
ADPGK,2,1.5386268232631723e-06,-73.0,-0.022114510754316873,-3.052697205665885e-08,-0.030947788861117893,0.004175191036014843
ADPRH,8,6.956169471189613e-05,77.0,0.07038391224862889,1.5933016756995e-06,0.15241845585378386,0.016971762606963727
ADPRHL1,2,5.475277504067565e-06,472.0,0.07426054122089365,7.029972028666825e-08,3.894200836255451,0.010202032438551549
ADPRHL2,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
ADRA1B,0,2.815005056566747e-07,-106.0,-0.018629173989455183,-5.13646113267464e-09,-0.04926332450177708,0.0
ADRA1D,0,1.4943635304198745e-05,-67.0,-0.04841040462427745,-4.137080764840116e-07,-0.06328306976847799,0.0
ADRA2A,0,1.546101347159417e-06,-108.0,-0.024171888988361683,-2.3997455793583298e-08,-0.06370220705554541,0.0
ADRB2,23,0.00010243774632955139,104.0,0.12667478684531058,4.170298182291998e-06,0.23773866257659448,0.025412430002144402
ADRM1,0,6.9934033084977246e-06,-57.0,-0.029749478079331943,-1.6382977081022494e-07,-0.04843478421633239,0.0
ADSS,0,3.508160368549606e-07,-72.0,-0.013915732508697333,-5.040016453383149e-09,-0.02617515011998739,0.0
ADSSL1,0,1.6416566458577063e-06,-131.0,-0.026669381107491858,-2.305231661217535e-08,-0.09176546707068595,0.0
AEBP2,4,2.6225490820198622e-05,1509.0,0.2695605573419078,4.3301815062130333e-07,3.6009435832118633,0.018394409541418816
AES,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AFAP1,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AFAP1L1,0,1.8376772680952219e-06,-111.0,-0.025278979731268504,-2.7561721101807444e-08,-0.06754802884859404,0.0
AFAP1L2,0,3.484186290013231e-07,-120.0,-0.020174848688634835,-4.545678785761313e-09,-0.06423605835893502,0.0
AFF1,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AFF4,1,7.462895925756905e-06,-61.0,-0.027003098716246128,-1.4553929834211974e-07,-0.05931892980909631,0.005125686592048438
AFG3L2,0,8.766510917804141e-06,-39.0,-0.021763392857142856,-2.0291303669279085e-07,-0.05180809506448994,0.0
AFMID,0,1.5876784300345466e-06,-111.0,-0.02403637938501516,-2.313752264630953e-08,-0.06977601416609897,0.0
AFTPH,0,5.200081629223207e-07,-114.0,-0.02041547277936963,-7.952277940831671e-09,-0.06473267560075074,0.0
AGBL2,8,3.4463474307542385e-05,156.0,0.07938931297709924,6.195785679062539e-07,0.19086392208337724,0.014470042952343047
AGER,0,9.91151971165367e-05,-25.0,-0.04424778761061947,-2.8116964557877763e-06,-0.08467926691144244,0.0
AGGF1,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AGK,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
AGL,0,0.0,-101.0,-0.01567836075752872,0.0,,0.0
