	Euclidean Distance
TBXA2R	0.00022966470798782093
RAB37	0.00022694263170185312
NUDT8	0.00022640800371664767
NAT8L	0.0002251960348618824
WFIKKN2	0.00022338173481198866
RAB30	0.00022282971703825198
TM6SF1	0.0002198198460540313
PROX1	0.00021958173901953258
F13A1	0.00021627256415433118
ALOX5AP	0.00021572003207168691
CLK1	0.00021401984571877653
STAT2	0.00021266427480373366
TMEM140	0.00020989463946793652
AAK1	0.00020976608513422452
IL12B	0.00020894007835507535
ASCC3	0.00020881536380758695
POLM	0.0002076526039542443
B4GALT5	0.00020726363632973135
PNPT1	0.00020712511797660785
ADAM32	0.0002040760320026585
RPS3	0.00020269291843539328
KCNT1	0.00020172893089860088
TAGLN3	0.00020114502100524047
GABARAP	0.00019965036064724484
PROM1	0.00019951326755506758
ZC3HAV1	0.00019950923442705777
PARP12	0.00019915782995008182
RSL1D1	0.000198814696157673
SAA1	0.00019834723406880907
FOXJ1	0.00019763114850852308
ANKRD12	0.00019473950650960483
SKIL	0.00019435411534895238
PLK3	0.00019389354081811007
HHIP	0.00019362173008911915
GATM	0.00019272508871050542
CPXM2	0.00019208442490876963
MAPK8IP2	0.00018933673148318017
C3AR1	0.00018870001154820494
SLC6A8	0.0001882866604469398
PER2	0.00018539096874232305
PPP1R10	0.00018508936288618794
CD300LG	0.00018456313620481295
PLA2G1B	0.00018394111011881843
RHOB	0.00018350696010912637
PDGFB	0.0001828252523251625
HDLBP	0.0001820844921158218
SEC14L4	0.00018163637955734494
KRTAP3-1	0.00018072317286887192
FLNB	0.00017873164213373
SOX18	0.00017863331940151057
CXCL12	0.00017723759743270924
UBD	0.00017560342894355231
EPHA2	0.0001748331034139848
HAP1	0.00017342433701190207
TNNT2	0.00017327438886053297
TBC1D10A	0.00017241908388841522
KIF20A	0.00017031735589001637
NOD2	0.00017023085014949895
ZBTB20	0.00016990553482309175
SLC2A5	0.000169551867513264
VTCN1	0.0001679652663470014
DNAJB1	0.00016772962670690833
GADD45A	0.0001664483190619172
COPE	0.00016578146126388203
PCMTD1	0.00016485984804993822
PHB	0.00016234236442293497
PRKDC	0.00016199008778030555
GGT1	0.00015789181643385806
RHOF	0.00015786603935016982
PTCH2	0.0001574250220494843
AKAP12	0.00015674403962739788
QPRT	0.0001566359188778589
FGF2	0.00015462052339823695
FCGR2B	0.00015149744564149983
FRMD6	0.00014960402689738288
MYH14	0.00014934482581772652
MXD3	0.0001491280499995349
PLA2G4C	0.00014887493847872676
TCF23	0.00014865053558844489
B4GALT7	0.00014864040016418045
PARVG	0.00014717579364784277
PLA1A	0.00014626464111475642
PDE4C	0.00014619045768190928
SAMD10	0.00014613827285050486
DUOXA2	0.00014603336920082207
GPR171	0.0001452462659154401
NID1	0.00014496054504305682
GDNF	0.00014371551306991632
BACH1	0.00014257049993588982
TRIM14	0.00014146344087769366
ISG20	0.00014135370920910587
DCTN1	0.00014070521736196255
ZDHHC7	0.0001400013163736209
DAGLA	0.0001394200036045039
FRS2	0.00013927449576599905
CAV3	0.00013860065513309706
DHCR24	0.00013836753857011775
COL9A2	0.00013720349475337704
TEK	0.00013676136722904662
KLHL4	0.00013637458097319894
XCR1	0.00013565229550653078
UBE2L6	0.00013513507630181555
LGR6	0.0001344835555004552
CENPA	0.00013406413650742546
ALAS2	0.00013349644813697052
HIST1H2AK	0.00013252945521354713
C2	0.00013223238167316118
LAP3	0.0001319172301139178
GBP2	0.00013167490411419746
PLK2	0.00013096196823028362
SLC19A3	0.00013078793637254473
TMEM40	0.00013061909398124277
NFIL3	0.00013039586492946648
ALOXE3	0.0001302037929126803
POU3F1	0.00012765488877896424
DTNA	0.00012734965134742447
NES	0.0001268726813372424
PIM1	0.00012671162281421513
DBH	0.00012636708343226344
NT5DC2	0.00012611507850714696
GNG13	0.00012602507812141284
JUNB	0.00012599933488381538
SVEP1	0.00012522503116867907
PDGFD	0.00012506701312226516
PDE4B	0.00012504810083526985
SNX21	0.00012487894422566384
SERPING1	0.00012424376864286866
FSTL4	0.00012402215752196666
ETS2	0.00012386727385225942
TBKBP1	0.00012384268090422887
PAX9	0.00012280154986624023
ASTN2	0.00012233989625963005
SERPINB2	0.0001222599124443417
HDAC9	0.00012181236319622077
IER2	0.00012156289267973802
AMIGO1	0.00012151083902804224
CDR2	0.00012049464223935663
CPLX2	0.00011787637504067649
P4HB	0.00011696456009321568
KCNH1	0.00011684652366429023
RASSF4	0.00011661091676464374
PLXNB2	0.00011629650725443019
ACTA1	0.00011626885971672254
PCF11	0.00011610316171356158
SPOCK2	0.00011592421600291266
RASL10A	0.00011525919700255052
HSPB9	0.00011519870808260362
SLC38A4	0.00011458044674919125
RAB26	0.00011441066632497974
PITX3	0.000114343619351279
AKNA	0.00011410772981299404
NPB	0.00011397655611061804
CYP24A1	0.00011301460020233863
ACTN2	0.00011282786528487269
REPS2	0.00011273400329020675
CGNL1	0.00011190324979456606
VCL	0.00011184766565944892
FOXN2	0.00011034358611765556
OTOF	0.0001101732431195338
PTAFR	0.00011006934255344501
MMP28	0.00010910401268443256
MYCN	0.00010897822571556081
KIF26B	0.00010894098794813199
SOX9	0.00010862256298344492
MAFG	0.00010847349657975902
TNRC6C	0.00010845517489874767
ALOX12B	0.00010812987013033692
THBS2	0.00010802361531101662
WFDC2	0.00010788248066430321
TREX1	0.00010759595171151238
HSP90AB1	0.00010728540806800463
CFB	0.00010716881166080977
ALDH6A1	0.00010674248606034654
BCL10	0.00010663454899229938
TRIM21	0.00010659690595526588
CNIH2	0.0001063917018652328
PHB2	0.00010574003839565815
PSMD2	0.0001053858391239264
SLC22A14	0.00010536569464660164
